,K,tau,fc,fc0,res
0,0.0,1,0.5849999999999997,0.5282,1.107535024611889
1,0.0,2,0.5264,0.5166000000000002,1.0189701897018966
2,0.0,3,0.4858,0.48559999999999987,1.000411861614498
3,0.0,4,0.4474,0.48079999999999984,0.9305324459234613
4,0.0,5,0.4194,0.39919999999999994,1.0506012024048097
5,0.0,6,0.4296,0.36959999999999993,1.1623376623376624
6,0.0,7,0.3631999999999999,0.35419999999999985,1.0254093732354603
7,0.0,8,0.3916000000000001,0.38119999999999993,1.027282266526758
8,0.0,9,0.3315999999999999,0.32739999999999975,1.0128283445326822
9,0.0,10,0.32739999999999986,0.32999999999999985,0.9921212121212122
10,0.01,1,0.5533999999999999,0.5513999999999999,1.003627130939427
11,0.01,2,0.4958000000000001,0.5364,0.9243102162565251
12,0.01,3,0.45640000000000003,0.46539999999999987,0.9806617963042548
13,0.01,4,0.38859999999999995,0.41419999999999996,0.9381941091260261
14,0.01,5,0.4257999999999998,0.40399999999999997,1.0539603960396036
15,0.01,6,0.3545999999999999,0.3747999999999999,0.9461045891141943
16,0.01,7,0.3811999999999998,0.359,1.06183844011142
17,0.01,8,0.3814000000000001,0.30479999999999996,1.2513123359580056
18,0.01,9,0.33380000000000004,0.35599999999999987,0.9376404494382027
19,0.01,10,0.3529999999999999,0.35080000000000006,1.0062713797035343
20,0.02,1,0.5461999999999998,0.5862,0.931763903104742
21,0.02,2,0.5181999999999999,0.49440000000000006,1.0481391585760513
22,0.02,3,0.44020000000000004,0.47759999999999975,0.9216917922948079
23,0.02,4,0.46219999999999994,0.46340000000000026,0.9974104445403532
24,0.02,5,0.42140000000000005,0.40079999999999993,1.0513972055888228
25,0.02,6,0.37799999999999995,0.37699999999999995,1.0026525198938991
26,0.02,7,0.38199999999999995,0.34199999999999997,1.1169590643274854
27,0.02,8,0.3407999999999998,0.3369999999999998,1.0112759643916915
28,0.02,9,0.35660000000000003,0.3162,1.1277672359266289
29,0.02,10,0.30899999999999994,0.3558000000000001,0.8684654300168629
30,0.03,1,0.5168,0.5475999999999996,0.9437545653761876
31,0.03,2,0.5044000000000001,0.4942,1.020639417239984
32,0.03,3,0.45520000000000005,0.46740000000000004,0.9738981600342319
33,0.03,4,0.40939999999999993,0.4587999999999999,0.8923278116826505
34,0.03,5,0.35700000000000004,0.42460000000000003,0.8407913330193123
35,0.03,6,0.43199999999999983,0.35679999999999995,1.2107623318385647
36,0.03,7,0.3765999999999998,0.3775999999999998,0.9973516949152542
37,0.03,8,0.4068,0.3568,1.140134529147982
38,0.03,9,0.34580000000000005,0.3046,1.1352593565331586
39,0.03,10,0.3272,0.35239999999999994,0.9284903518728719
40,0.04,1,0.5589999999999998,0.5741999999999999,0.9735283873214906
41,0.04,2,0.5097999999999998,0.4388000000000002,1.1618049225159517
42,0.04,3,0.44619999999999993,0.4280000000000001,1.0425233644859808
43,0.04,4,0.386,0.43239999999999973,0.8926919518963928
44,0.04,5,0.4135999999999997,0.4132,1.000968054211035
45,0.04,6,0.4005999999999999,0.38940000000000013,1.0287621982537232
46,0.04,7,0.3947999999999999,0.3276,1.2051282051282048
47,0.04,8,0.34579999999999983,0.3377999999999998,1.0236826524570752
48,0.04,9,0.37000000000000016,0.3306000000000001,1.119177253478524
49,0.04,10,0.30560000000000004,0.35599999999999987,0.8584269662921352
50,0.05,1,0.5418,0.5358,1.011198208286674
51,0.05,2,0.47119999999999984,0.4842,0.9731515902519616
52,0.05,3,0.42279999999999984,0.43879999999999986,0.9635369188696444
53,0.05,4,0.39919999999999994,0.4664,0.8559176672384219
54,0.05,5,0.374,0.4259999999999998,0.8779342723004698
55,0.05,6,0.3702,0.3726,0.9935587761674718
56,0.05,7,0.34059999999999996,0.3535999999999999,0.9632352941176472
57,0.05,8,0.3869999999999997,0.36939999999999984,1.0476448294531668
58,0.05,9,0.33039999999999986,0.31139999999999995,1.0610147719974308
59,0.05,10,0.37679999999999986,0.3496000000000001,1.0778032036613265
60,0.06,1,0.5453999999999998,0.5722,0.9531632296399856
61,0.06,2,0.4695999999999998,0.5248,0.8948170731707312
62,0.06,3,0.4653999999999997,0.4365999999999999,1.0659642693540994
63,0.06,4,0.40239999999999987,0.3995999999999998,1.0070070070070072
64,0.06,5,0.3906000000000002,0.3874,1.0082601961796598
65,0.06,6,0.37940000000000007,0.4037999999999998,0.9395740465577024
