,K,tau,fc,fc0,res
0,0.0,1,0.0068000000000000005,0.006999999999999999,0.9714285714285716
1,0.0,2,0.0002,0.006999999999999999,0.028571428571428577
2,0.0,3,0.0064,0.0062,1.0322580645161292
3,0.0,4,0.006999999999999999,0.0068000000000000005,1.0294117647058822
4,0.0,5,0.005600000000000001,0.006999999999999999,0.8000000000000002
5,0.0,6,0.0062,0.0074,0.8378378378378377
6,0.0,7,0.0038,0.0078000000000000005,0.48717948717948717
7,0.0,8,0.0072,0.006999999999999999,1.0285714285714287
8,0.0,9,0.006999999999999999,0.0066,1.0606060606060606
9,0.0,10,0.0004,0.0068000000000000005,0.058823529411764705
10,0.01,1,0.0062,0.0074,0.8378378378378377
11,0.01,2,0.0066,0.006999999999999999,0.942857142857143
12,0.01,3,0.006999999999999999,0.0062,1.129032258064516
13,0.01,4,0.006,0.0062,0.967741935483871
14,0.01,5,0.005600000000000001,0.0072,0.7777777777777779
15,0.01,6,0.0054,0.0066,0.8181818181818182
16,0.01,7,0.006999999999999999,0.0072,0.9722222222222221
17,0.01,8,0.0064,0.0076,0.8421052631578948
18,0.01,9,0.0004,0.0076,0.052631578947368425
19,0.01,10,0.0066,0.0048,1.3750000000000002
20,0.02,1,0.0072,0.0064,1.125
21,0.02,2,0.0072,0.006999999999999999,1.0285714285714287
22,0.02,3,0.006999999999999999,0.006999999999999999,1.0
23,0.02,4,0.0068000000000000005,0.005600000000000001,1.2142857142857142
24,0.02,5,0.0064,0.0086,0.7441860465116279
25,0.02,6,0.008,0.0068000000000000005,1.1764705882352942
26,0.02,7,0.0076,0.005600000000000001,1.357142857142857
27,0.02,8,0.0062,0.0062,1.0
28,0.02,9,0.005,0.006999999999999999,0.7142857142857144
29,0.02,10,0.0022,0.0074,0.2972972972972973
30,0.03,1,0.008,0.0072,1.1111111111111112
31,0.03,2,0.0062,0.0084,0.7380952380952381
32,0.03,3,0.0074,0.0068000000000000005,1.088235294117647
33,0.03,4,0.0062,0.006999999999999999,0.8857142857142858
34,0.03,5,0.0076,0.0076,1.0
35,0.03,6,0.0066,0.0072,0.9166666666666667
36,0.03,7,0.0026,0.0,inf
37,0.03,8,0.0074,0.0068000000000000005,1.088235294117647
38,0.03,9,0.0064,0.0068000000000000005,0.9411764705882353
39,0.03,10,0.006999999999999999,0.0052,1.346153846153846
40,0.04,1,0.0072,0.0066,1.0909090909090908
41,0.04,2,0.0066,0.0064,1.03125
42,0.04,3,0.0072,0.0064,1.125
43,0.04,4,0.006999999999999999,0.006999999999999999,1.0
44,0.04,5,0.006999999999999999,0.0062,1.129032258064516
45,0.04,6,0.0072,0.0068000000000000005,1.0588235294117645
46,0.04,7,0.006,0.0068000000000000005,0.8823529411764706
47,0.04,8,0.0068000000000000005,0.0054,1.2592592592592593
48,0.04,9,0.006999999999999999,0.005,1.4
49,0.04,10,0.0078000000000000005,0.0068000000000000005,1.1470588235294117
50,0.05,1,0.006999999999999999,0.0068000000000000005,1.0294117647058822
51,0.05,2,0.0074,0.0066,1.1212121212121213
52,0.05,3,0.0074,0.0064,1.15625
53,0.05,4,0.0062,0.006999999999999999,0.8857142857142858
54,0.05,5,0.0068000000000000005,0.0062,1.0967741935483872
55,0.05,6,0.005600000000000001,0.005600000000000001,1.0
56,0.05,7,0.0026,0.0064,0.40624999999999994
57,0.05,8,0.006999999999999999,0.0072,0.9722222222222221
58,0.05,9,0.0018,0.0068000000000000005,0.2647058823529411
59,0.05,10,0.006999999999999999,0.006999999999999999,1.0
60,0.06,1,0.006999999999999999,0.006999999999999999,1.0
61,0.06,2,0.0004,0.0072,0.05555555555555556
62,0.06,3,0.0074,0.0076,0.9736842105263158
63,0.06,4,0.008,0.005600000000000001,1.4285714285714284
64,0.06,5,0.0072,0.0066,1.0909090909090908
65,0.06,6,0.0002,0.0064,0.03125
66,0.06,7,0.0072,0.0068000000000000005,1.0588235294117645
67,0.06,8,0.0064,0.0068000000000000005,0.9411764705882353
68,0.06,9,0.0068000000000000005,0.006999999999999999,0.9714285714285716
69,0.06,10,0.0074,0.0074,1.0
70,0.07,1,0.0076,0.0058,1.310344827586207
71,0.07,2,0.0076,0.0076,1.0
72,0.07,3,0.0068000000000000005,0.0066,1.0303030303030303
73,0.07,4,0.0006,0.0066,0.0909090909090909
74,0.07,5,0.0072,0.0074,0.9729729729729729
75,0.07,6,0.006999999999999999,0.0002,34.99999999999999
76,0.07,7,0.0078000000000000005,0.0074,1.0540540540540542
77,0.07,8,0.0076,0.0074,1.027027027027027
78,0.07,9,0.0024,0.0072,0.3333333333333333
79,0.07,10,0.0024,0.006999999999999999,0.34285714285714286
80,0.08,1,0.0078000000000000005,0.0072,1.0833333333333335
81,0.08,2,0.0076,0.0062,1.2258064516129032
82,0.08,3,0.006,0.0066,0.9090909090909091
83,0.08,4,0.0066,0.006999999999999999,0.942857142857143
84,0.08,5,0.0048,0.0068000000000000005,0.7058823529411764
85,0.08,6,0.0018,0.006999999999999999,0.2571428571428572
86,0.08,7,0.0064,0.0054,1.1851851851851851
87,0.08,8,0.0074,0.0072,1.027777777777778
88,0.08,9,0.0068000000000000005,0.0,inf
89,0.08,10,0.006999999999999999,0.0064,1.0937499999999998
90,0.09,1,0.0078000000000000005,0.0076,1.0263157894736843
91,0.09,2,0.006999999999999999,0.0072,0.9722222222222221
92,0.09,3,0.008,0.0066,1.2121212121212122
93,0.09,4,0.005,0.0074,0.6756756756756757
94,0.09,5,0.006999999999999999,0.006,1.1666666666666665
