,K,tau,fc,fc0,res
0,0.0,1,0.15519999999999987,0.13279999999999995,1.1686746987951802
1,0.0,2,0.14559999999999992,0.14419999999999988,1.0097087378640779
2,0.0,3,0.15039999999999998,0.12539999999999993,1.1993620414673052
3,0.0,4,0.13319999999999999,0.14959999999999998,0.8903743315508021
4,0.0,5,0.12619999999999998,0.13719999999999996,0.9198250728862974
5,0.0,6,0.14239999999999992,0.15499999999999992,0.9187096774193548
6,0.0,7,0.14579999999999985,0.1629999999999999,0.8944785276073616
7,0.0,8,0.14199999999999993,0.13979999999999992,1.0157367668097284
8,0.0,9,0.13279999999999992,0.15919999999999992,0.8341708542713566
9,0.0,10,0.1267999999999999,0.14179999999999993,0.8942172073342735
10,0.01,1,0.16999999999999996,0.1649999999999999,1.0303030303030307
11,0.01,2,0.1644,0.13079999999999992,1.2568807339449548
12,0.01,3,0.17420000000000002,0.13899999999999987,1.2532374100719437
13,0.01,4,0.16399999999999995,0.14539999999999992,1.127922971114168
14,0.01,5,0.1845999999999999,0.11639999999999998,1.5859106529209617
15,0.01,6,0.17359999999999995,0.13179999999999992,1.3171471927162373
16,0.01,7,0.1654,0.16139999999999993,1.0247831474597278
17,0.01,8,0.1625999999999999,0.14239999999999997,1.1418539325842694
18,0.01,9,0.1753999999999998,0.12159999999999997,1.4424342105263146
19,0.01,10,0.17319999999999997,0.1365999999999999,1.2679355783308939
20,0.02,1,0.23839999999999992,0.16679999999999995,1.4292565947242206
21,0.02,2,0.21999999999999997,0.13979999999999992,1.5736766809728189
22,0.02,3,0.21259999999999984,0.1432,1.4846368715083789
23,0.02,4,0.2072,0.1253999999999999,1.652312599681022
24,0.02,5,0.22799999999999992,0.14759999999999993,1.5447154471544717
25,0.02,6,0.22839999999999996,0.1413999999999999,1.6152758132956164
26,0.02,7,0.21419999999999995,0.13139999999999996,1.63013698630137
27,0.02,8,0.20959999999999998,0.1598,1.3116395494367958
28,0.02,9,0.21919999999999992,0.13779999999999995,1.590711175616836
29,0.02,10,0.21819999999999992,0.13499999999999995,1.6162962962962963
30,0.03,1,0.2582,0.12479999999999998,2.068910256410257
31,0.03,2,0.26319999999999993,0.14539999999999986,1.8101788170563975
32,0.03,3,0.2389999999999999,0.14159999999999986,1.6878531073446337
33,0.03,4,0.23560000000000006,0.1569999999999999,1.5006369426751607
34,0.03,5,0.2464,0.14139999999999994,1.7425742574257432
35,0.03,6,0.2556,0.1393999999999999,1.8335724533715936
36,0.03,7,0.24799999999999986,0.13239999999999993,1.8731117824773413
37,0.03,8,0.2686,0.16099999999999987,1.668322981366461
38,0.03,9,0.2459999999999999,0.1299999999999999,1.8923076923076931
39,0.03,10,0.2562,0.18000000000000005,1.423333333333333
40,0.04,1,0.2574000000000001,0.14239999999999997,1.8075842696629223
41,0.04,2,0.2719999999999999,0.13919999999999993,1.9540229885057474
42,0.04,3,0.267,0.15319999999999992,1.7428198433420377
43,0.04,4,0.25460000000000005,0.1421999999999999,1.7904360056258806
44,0.04,5,0.2609999999999998,0.14979999999999996,1.7423230974632835
45,0.04,6,0.26380000000000003,0.13219999999999998,1.9954614220877462
46,0.04,7,0.2632000000000001,0.14499999999999993,1.815172413793105
47,0.04,8,0.26419999999999993,0.13819999999999993,1.9117221418234447
48,0.04,9,0.2606000000000001,0.12279999999999991,2.122149837133553
49,0.04,10,0.2749999999999999,0.13459999999999991,2.043090638930164
50,0.05,1,0.25639999999999996,0.14499999999999993,1.768275862068966
51,0.05,2,0.27080000000000004,0.14159999999999998,1.912429378531074
52,0.05,3,0.3054,0.1405999999999999,2.1721194879089634
53,0.05,4,0.2646,0.16359999999999988,1.6173594132029352
54,0.05,5,0.2538000000000001,0.12739999999999996,1.9921507064364221
55,0.05,6,0.27620000000000006,0.12959999999999994,2.131172839506174
56,0.05,7,0.25560000000000016,0.16019999999999984,1.5955056179775307
57,0.05,8,0.25600000000000006,0.11719999999999992,2.1843003412969306
58,0.05,9,0.27540000000000003,0.1537999999999999,1.7906371911573484
59,0.05,10,0.26200000000000007,0.13859999999999992,1.890331890331892
60,0.06,1,0.2974,0.14619999999999997,2.034199726402189
61,0.06,2,0.2749999999999999,0.13399999999999987,2.0522388059701506
62,0.06,3,0.2740000000000001,0.13839999999999997,1.9797687861271687
63,0.06,4,0.259,0.13919999999999996,1.8606321839080466
64,0.06,5,0.2629999999999999,0.13979999999999987,1.8812589413447793
65,0.06,6,0.29119999999999996,0.13939999999999997,2.088952654232425
66,0.06,7,0.2676000000000001,0.13979999999999992,1.9141630901287572
67,0.06,8,0.26739999999999997,0.1273999999999999,2.0989010989011003
68,0.06,9,0.2872,0.12299999999999994,2.3349593495934973
69,0.06,10,0.2720000000000001,0.13679999999999995,1.9883040935672527
70,0.07,1,0.2962000000000001,0.1333999999999999,2.2203898050974535
71,0.07,2,0.27519999999999994,0.12139999999999997,2.266886326194399
72,0.07,3,0.27659999999999996,0.10619999999999997,2.6045197740112997
73,0.07,4,0.2764,0.13679999999999992,2.020467836257311
74,0.07,5,0.26439999999999997,0.13519999999999996,1.9556213017751483
75,0.07,6,0.2808000000000001,0.1391999999999999,2.017241379310347
76,0.07,7,0.27159999999999995,0.16259999999999997,1.6703567035670357
77,0.07,8,0.2828,0.1345999999999999,2.10104011887073
78,0.07,9,0.26939999999999986,0.15279999999999996,1.7630890052356016
79,0.07,10,0.2827999999999999,0.1519999999999999,1.860526315789474
80,0.08,1,0.2684000000000001,0.14259999999999992,1.8821879382889217
81,0.08,2,0.2909999999999999,0.12299999999999989,2.365853658536587
