,K,tau,fc,fc0,res
0,0.0,1,0.03060000000000002,0.034800000000000025,0.8793103448275861
1,0.0,2,0.029400000000000023,0.032800000000000024,0.8963414634146342
2,0.0,3,0.03340000000000002,0.037000000000000026,0.9027027027027026
3,0.0,4,0.033800000000000024,0.028600000000000018,1.1818181818181819
4,0.0,5,0.03240000000000002,0.03340000000000002,0.9700598802395209
5,0.0,6,0.03660000000000003,0.03160000000000002,1.158227848101266
6,0.0,7,0.03180000000000002,0.03340000000000002,0.9520958083832336
7,0.0,8,0.031400000000000025,0.03960000000000003,0.7929292929292929
8,0.0,9,0.03560000000000002,0.035800000000000026,0.9944134078212289
9,0.0,10,0.02960000000000002,0.041800000000000025,0.7081339712918661
10,0.01,1,0.03660000000000002,0.032400000000000026,1.1296296296296293
11,0.01,2,0.03880000000000003,0.03160000000000002,1.227848101265823
12,0.01,3,0.039600000000000024,0.037000000000000026,1.0702702702702702
13,0.01,4,0.034800000000000025,0.027600000000000017,1.2608695652173914
14,0.01,5,0.04419999999999999,0.030400000000000017,1.4539473684210515
15,0.01,6,0.04080000000000001,0.035800000000000026,1.1396648044692732
16,0.01,7,0.03640000000000002,0.03240000000000002,1.123456790123457
17,0.01,8,0.03440000000000002,0.03200000000000002,1.075
18,0.01,9,0.03940000000000002,0.03360000000000002,1.1726190476190474
19,0.01,10,0.03880000000000003,0.030400000000000017,1.2763157894736845
20,0.02,1,0.049799999999999976,0.035400000000000015,1.4067796610169478
21,0.02,2,0.04260000000000001,0.028400000000000016,1.4999999999999996
22,0.02,3,0.04280000000000001,0.030400000000000017,1.4078947368421049
23,0.02,4,0.04519999999999999,0.03140000000000002,1.4394904458598714
24,0.02,5,0.0498,0.032800000000000024,1.5182926829268282
25,0.02,6,0.0438,0.04020000000000002,1.0895522388059695
26,0.02,7,0.04220000000000001,0.03300000000000002,1.2787878787878781
27,0.02,8,0.048199999999999986,0.028200000000000017,1.709219858156027
28,0.02,9,0.045999999999999985,0.034800000000000025,1.3218390804597688
29,0.02,10,0.05039999999999999,0.034800000000000025,1.4482758620689642
30,0.03,1,0.054599999999999975,0.036200000000000024,1.5082872928176778
31,0.03,2,0.04420000000000002,0.029000000000000015,1.5241379310344825
32,0.03,3,0.041800000000000004,0.03260000000000002,1.2822085889570547
33,0.03,4,0.05419999999999996,0.03340000000000002,1.6227544910179619
34,0.03,5,0.05639999999999997,0.029800000000000017,1.8926174496644275
35,0.03,6,0.06119999999999996,0.03140000000000002,1.949044585987259
36,0.03,7,0.04880000000000001,0.03240000000000002,1.5061728395061722
37,0.03,8,0.060999999999999964,0.029200000000000018,2.0890410958904084
38,0.03,9,0.05999999999999993,0.026800000000000015,2.23880597014925
39,0.03,10,0.06339999999999996,0.036000000000000025,1.7611111111111086
40,0.04,1,0.05619999999999996,0.029400000000000023,1.9115646258503372
41,0.04,2,0.06859999999999991,0.031400000000000025,2.1847133757961736
42,0.04,3,0.07099999999999992,0.030000000000000016,2.3666666666666627
43,0.04,4,0.042200000000000015,0.03020000000000002,1.397350993377483
44,0.04,5,0.07619999999999995,0.035800000000000026,2.128491620111729
45,0.04,6,0.058599999999999965,0.03120000000000002,1.878205128205126
46,0.04,7,0.06679999999999994,0.027600000000000017,2.4202898550724603
47,0.04,8,0.05819999999999996,0.03240000000000002,1.796296296296294
48,0.04,9,0.05739999999999998,0.032800000000000024,1.749999999999998
49,0.04,10,0.06039999999999998,0.03800000000000003,1.5894736842105248
50,0.05,1,0.07119999999999993,0.027400000000000015,2.5985401459853974
51,0.05,2,0.05799999999999995,0.03200000000000002,1.8124999999999971
52,0.05,3,0.07939999999999994,0.03120000000000002,2.5448717948717916
53,0.05,4,0.07479999999999995,0.029800000000000017,2.5100671140939568
54,0.05,5,0.06779999999999994,0.030400000000000024,2.230263157894733
55,0.05,6,0.060799999999999896,0.03320000000000002,1.831325301204815
56,0.05,7,0.07279999999999993,0.029800000000000017,2.4429530201342247
57,0.05,8,0.06299999999999994,0.03140000000000002,2.0063694267515895
58,0.05,9,0.06559999999999996,0.03180000000000002,2.0628930817610036
59,0.05,10,0.05239999999999996,0.033800000000000024,1.5502958579881634
60,0.06,1,0.07459999999999994,0.03400000000000002,2.19411764705882
61,0.06,2,0.08059999999999995,0.03300000000000002,2.4424242424242393
62,0.06,3,0.07319999999999997,0.03200000000000002,2.2874999999999974
63,0.06,4,0.08899999999999993,0.028600000000000018,3.111888111888107
64,0.06,5,0.07199999999999995,0.03140000000000002,2.2929936305732457
65,0.06,6,0.06599999999999992,0.033200000000000014,1.9879518072289124
66,0.06,7,0.07379999999999995,0.037000000000000026,1.9945945945945918
67,0.06,8,0.06339999999999994,0.029800000000000017,2.127516778523487
68,0.06,9,0.07319999999999996,0.03660000000000002,1.9999999999999978
69,0.06,10,0.05219999999999999,0.03860000000000002,1.3523316062176154
70,0.07,1,0.06919999999999994,0.03520000000000002,1.965909090909088
71,0.07,2,0.07639999999999997,0.03320000000000002,2.301204819277106
72,0.07,3,0.07279999999999996,0.030400000000000017,2.3947368421052606
73,0.07,4,0.07639999999999991,0.03200000000000002,2.3874999999999957
74,0.07,5,0.10299999999999992,0.03420000000000002,3.0116959064327444
75,0.07,6,0.06879999999999992,0.029000000000000015,2.372413793103444
76,0.07,7,0.07639999999999995,0.03340000000000002,2.287425149700596
77,0.07,8,0.07339999999999997,0.03660000000000002,2.005464480874315
78,0.07,9,0.07539999999999997,0.035800000000000026,2.1061452513966454
79,0.07,10,0.06939999999999996,0.028600000000000018,2.4265734265734236
80,0.08,1,0.08939999999999997,0.03400000000000002,2.6294117647058797
81,0.08,2,0.08319999999999997,0.028000000000000014,2.971428571428569
82,0.08,3,0.05019999999999997,0.028800000000000017,1.7430555555555534
83,0.08,4,0.07339999999999997,0.027200000000000016,2.698529411764703
84,0.08,5,0.07259999999999991,0.03660000000000002,1.9836065573770456
85,0.08,6,0.06099999999999994,0.029800000000000017,2.046979865771809
86,0.08,7,0.09739999999999985,0.03520000000000002,2.7670454545454484
87,0.08,8,0.09219999999999993,0.030000000000000016,3.0733333333333297
88,0.08,9,0.05060000000000001,0.03540000000000002,1.429378531073446
89,0.08,10,0.06519999999999997,0.02660000000000002,2.4511278195488693
90,0.09,1,0.06999999999999992,0.035800000000000026,1.955307262569829
91,0.09,2,0.07679999999999992,0.029000000000000015,2.6482758620689615
92,0.09,3,0.07259999999999993,0.02860000000000002,2.538461538461534
93,0.09,4,0.08459999999999994,0.030600000000000023,2.764705882352937
94,0.09,5,0.08519999999999994,0.029800000000000017,2.8590604026845603
95,0.09,6,0.08019999999999992,0.03180000000000002,2.522012578616348
96,0.09,7,0.08519999999999994,0.03140000000000002,2.7133757961783407
